['position6'],['position18'],['position29'],['position41'],['position55']
0.7808208465576172,0.7808208465576172,0.7808208465576172,0.7808208465576172,0.7808208465576172
0.7867813110351562,0.7808208465576172,0.7867813110351562,0.7867813110351562,0.7867813110351562
0.7927417755126953,0.7927417755126953,0.7927417755126953,0.7688999176025391,0.8046627044677734
0.7688999176025391,0.7748603820800781,0.7688999176025391,0.7480382919311523,0.7987022399902344
0.762939453125,0.7927417755126953,0.7599592208862305,0.7420778274536133,0.8046627044677734
0.7271766662597656,0.8046627044677734,0.7688999176025391,0.7480382919311523,0.7867813110351562
0.718235969543457,0.8285045623779297,0.7987022399902344,0.7480382919311523,0.8344650268554688
0.6854534149169922,0.8165836334228516,0.8106231689453125,0.7271766662597656,0.8046627044677734
0.6914138793945312,0.8046627044677734,0.7480382919311523,0.6735324859619141,0.7599592208862305
0.6765127182006836,0.8106231689453125,0.7569789886474609,0.6884336471557617,0.7808208465576172
0.6198883056640625,0.7361173629760742,0.7301568984985352,0.6526708602905273,0.7510185241699219
0.6467103958129883,0.7510185241699219,0.7808208465576172,0.6943941116333008,0.8404254913330078
0.622868537902832,0.6467103958129883,0.718235969543457,0.6079673767089844,0.7808208465576172
0.5781650543212891,0.616908073425293,0.7003545761108398,0.6318092346191406,0.762939453125
0.6049871444702148,0.6854534149169922,0.7241964340209961,0.7241964340209961,0.7867813110351562
0.5930662155151367,0.5990266799926758,0.6437301635742188,0.6645917892456055,0.7241964340209961
0.6318092346191406,0.6347894668579102,0.667572021484375,0.6586313247680664,0.7987022399902344
0.6973743438720703,0.7599592208862305,0.7987022399902344,0.7003545761108398,0.9000301361083984
0.7987022399902344,0.9477138519287109,0.9596347808837891,0.8404254913330078,0.9417533874511719
0.9596347808837891,1.1682510375976562,1.1086463928222656,0.9477138519287109,1.049041748046875
0.9775161743164062,1.2695789337158203,1.1920928955078125,1.2218952178955078,1.1205673217773438
0.9477138519287109,1.3172626495361328,1.1920928955078125,1.3530254364013672,1.2218952178955078
1.0311603546142578,1.5854835510253906,1.52587890625,1.8239021301269531,1.52587890625
1.2576580047607422,1.811981201171875,1.9192695617675781,2.384185791015625,1.8239021301269531
1.3947486877441406,1.9311904907226562,2.5153160095214844,2.5153160095214844,1.9669532775878906
1.3709068298339844,2.1219253540039062,2.372264862060547,2.7060508728027344,2.086162567138672
1.5616416931152344,3.4093856811523438,3.6478042602539062,3.3855438232421875,2.8252601623535156
1.9788742065429688,5.078315734863281,4.887580871582031,4.649162292480469,3.4093856811523438
2.110004425048828,7.2479248046875,6.389617919921875,6.2465667724609375,4.76837158203125
2.4080276489257812,8.7738037109375,8.726119995117188,8.344650268554688,5.269050598144531
2.9087066650390625,13.065338134765625,12.01629638671875,12.5885009765625,6.5326690673828125
5.245208740234375,24.98626708984375,24.98626708984375,26.3214111328125,12.77923583984375
